ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total Spending,income - spending,Age,Income - Spending,High_Risk_Churn,Log_Income,Income_Segment,Spending_Segment,Cluster
5524,1957,Graduation,Single,58138.0,0,0,4/9/12,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1617,56521,68,56521.0,0,10.970591974102547,Medium,High,1
2174,1954,Graduation,Single,46344.0,1,1,8/3/14,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,27,46317,71,46317.0,0,10.743868690309933,Medium,Low,2
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,776,70837,60,70837.0,0,11.179045864561353,High,Medium,0
6182,1984,Graduation,Together,26646.0,1,0,10/2/14,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,53,26593,41,26593.0,0,10.190431852901,Low,Low,2
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,422,57871,44,57871.0,1,10.973254451090401,Medium,Medium,0
7446,1967,Master,Together,62513.0,0,1,9/9/13,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,716,61797,58,61797.0,0,11.043145810640238,Medium,Medium,0
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,590,55045,54,55045.0,0,10.926585752727021,Medium,Medium,0
6177,1985,PhD,Married,33454.0,1,0,8/5/13,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,169,33285,40,33285.0,0,10.417956531216918,Low,Medium,2
4855,1974,PhD,Together,30351.0,1,0,6/6/13,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,30305,51,30305.0,0,10.320617692174796,Low,Low,2
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,49,5599,75,5599.0,0,8.639233817325263,Low,Low,2
1994,1983,Graduation,Married,51381.5,1,0,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,19,-19,42,51362.5,0,10.847052926545164,Medium,Low,2
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,61,7439,49,7439.0,0,8.922791623969637,Low,Low,2
2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1102,61931,66,61931.0,1,11.051429542337106,High,High,0
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,310,59044,73,59044.0,0,10.991291642487635,Medium,Medium,0
2569,1987,Graduation,Married,17323.0,0,0,10/10/12,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,17277,38,17277.0,0,9.759848102334518,Low,Low,2
2114,1946,PhD,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1315,81485,79,81485.0,0,11.324195417595107,High,High,1
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,96,41754,45,41754.0,0,10.641870970494749,Medium,Low,2
4939,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,317,37443,79,37443.0,0,10.539032102959615,Low,Medium,2
6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1782,75213,76,75213.0,1,11.251508751434526,High,High,1
2278,1985,2n Cycle,Single,33812.0,1,0,3/11/12,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,133,33679,40,33679.0,1,10.428600622910189,Low,Medium,2
9360,1982,Graduation,Married,37040.0,0,0,8/8/12,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,316,36724,43,36724.0,0,10.519780686235853,Low,Medium,2
5376,1979,Graduation,Married,2447.0,1,0,6/1/13,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1730,717,46,717.0,0,7.803026643632217,Low,High,0
1993,1949,PhD,Married,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,57635,76,57635.0,0,10.978626485018596,Medium,High,0
4047,1954,PhD,Married,65324.0,0,1,11/1/14,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,64780,71,64780.0,0,11.087130090388813,High,Medium,0
1409,1951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,40245,74,40245.0,0,10.613737640995735,Medium,Medium,2
